Date : 2026-05-29 18:16:40
Directory : c:\Users\oggy_\Develop\Repos\Harite
Total : 316 files,  35607 codes, 590 comments, 10681 blanks, all 46878 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\gui\gui-phase10-4th-planning.md                        | Markdown     |        219 |          0 |         95 |        314 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\gui\gui-phase10-closing-check.md                       | Markdown     |         58 |          0 |         35 |         93 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\gui\gui-phase10-icon-html-mock-memo.md                 | Markdown     |        109 |          0 |         30 |        139 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\gui\gui-phase10-icon-mock.html                         | HTML         |        668 |          0 |         90 |        758 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\gui\gui-phase10-iconset-comparison.md                  | Markdown     |        148 |          0 |         34 |        182 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\gui\gui-phase10-layout-restructure-contract.md         | Markdown     |        165 |          0 |         61 |        226 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\gui\gui-phase10-visual-aid-xfce-validation-memo.md     | Markdown     |        119 |          0 |         50 |        169 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\gui\gui-phase11-1st-planning.md                        | Markdown     |        131 |          0 |         43 |        174 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\gui\gui-phase11-2nd-planning.md                        | Markdown     |         90 |          0 |         38 |        128 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\gui\gui-phase11-3rd-planning.md                        | Markdown     |         66 |          0 |         32 |         98 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\gui\gui-phase11-closing.md                             | Markdown     |         48 |          0 |         29 |         77 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\gui\gui-phase2-tasklist.md                             | Markdown     |         22 |          0 |         12 |         34 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\gui\gui-phase3-adapter-boundary.md                     | Markdown     |         40 |          0 |         21 |         61 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\gui\gui-phase3-final-validation-record-20260412.md     | Markdown     |         73 |          0 |         26 |         99 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\gui\gui-phase3-integration-test-matrix.md              | Markdown     |         83 |          0 |         28 |        111 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\gui\gui-phase3-mainwindow-state-model.md               | Markdown     |         84 |          0 |         34 |        118 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\gui\gui-phase3-tasklist.md                             | Markdown     |        141 |          0 |         47 |        188 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\gui\gui-phase4-diff-checklist.md                       | Markdown     |         58 |          0 |         22 |         80 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\gui\gui-phase4-final-validation-record-20260413.md     | Markdown     |         70 |          0 |         26 |         96 |
