Date : 2026-06-10 21:30:02
Directory : c:\Users\oggy_\Develop\Repos\Harite
Total : 266 files,  23629 codes, -744 comments, 6695 blanks, all 29580 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\oggy_\Develop\Repos\Harite\docs\working\finished\20260607-p04-main-action-cluster-planning-draft.md         | Markdown         |        118 |          0 |         49 |        167 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\working\finished\20260608-p08-3layer-audit.md                               | Markdown         |        126 |          0 |         51 |        177 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\working\finished\20260608-p08-main-margins-drawer-planning-draft.md         | Markdown         |        111 |          0 |         69 |        180 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\working\finished\README.md                                                  | Markdown         |         46 |          0 |         11 |         57 |
| c:\Users\oggy_\Develop\Repos\Harite\pytest.ini                                                                       | Ini              |          1 |          0 |          0 |          1 |
| c:\Users\oggy_\Develop\Repos\Harite\requirements.txt                                                                 | pip requirements |          1 |          8 |          2 |         11 |
| c:\Users\oggy_\Develop\Repos\Harite\scripts\apply_docs_replacements.py                                               | Python           |          7 |         -9 |          2 |          0 |
| c:\Users\oggy_\Develop\Repos\Harite\scripts\check_xfce_last_image_paths.py                                           | Python           |          1 |         -1 |          0 |          0 |
| c:\Users\oggy_\Develop\Repos\Harite\scripts\fix_enumerators.py                                                       | Python           |          3 |         -4 |          1 |          0 |
| c:\Users\oggy_\Develop\Repos\Harite\scripts\gui_layout_smoke.py                                                      | Python           |          7 |         -8 |          1 |          0 |
| c:\Users\oggy_\Develop\Repos\Harite\scripts\xfce_smoke_runner.py                                                     | Python           |          4 |         -5 |          1 |          0 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\__init__.py                                                           | Python           |          1 |         -1 |          0 |          0 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\apply_surface.py                                                      | Python           |          4 |         -1 |          2 |          5 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\auto_display_scale.py                                                 | Python           |         53 |          0 |          9 |         62 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\cli.py                                                                | Python           |        120 |        -38 |         20 |        102 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\core.py                                                               | Python           |        293 |       -139 |         43 |        197 |
