"filename", "language", "Ini", "pip requirements", "Markdown", "YAML", "Python", "JSON", "HTML", "XML", "comment", "blank", "total"
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\__init__.py", "Python", 0, 0, 0, 0, 1, 0, 0, 0, -1, 0, 0
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters\__init__.py", "Python", 0, 0, 0, 0, 1, 0, 0, 0, -1, 0, 0
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters\gtk_backend.py", "Python", 0, 0, 0, 0, 20, 0, 0, 0, -11, 5, 14
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters\gtk_dialog_builders.py", "Python", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters\gtk_layout_builders.py", "Python", 0, 0, 0, 0, 33, 0, 0, 0, 0, 10, 43
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters\gtk_runtime_action_handlers.py", "Python", 0, 0, 0, 0, -7, 0, 0, 0, -2, 0, -9
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters\gtk_runtime_builders.py", "Python", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters\gtk_runtime_dialogs.py", "Python", 0, 0, 0, 0, 6, 0, 0, 0, -6, 0, 0
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters\gtk_runtime_file_dialog_flow.py", "Python", 0, 0, 0, 0, -1, 0, 0, 0, -1, 0, -2
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters\gtk_runtime_margin_text.py", "Python", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters\gtk_runtime_object_registry.py", "Python", 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters\gtk_runtime_owner_sync.py", "Python", 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 3
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters\gtk_runtime_preview.py", "Python", 0, 0, 0, 0, -17, 0, 0, 0, 0, 0, -17
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters\gtk_runtime_signal_wiring.py", "Python", 0, 0, 0, 0, 28, 0, 0, 0, 0, 2, 30
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters\gtk_runtime_slideshow_ui.py", "Python", 0, 0, 0, 0, 65, 0, 0, 0, -1, 8, 72
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters\gtk_runtime_state_labels.py", "Python", 0, 0, 0, 0, -3, 0, 0, 0, 0, 0, -3
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters\gtk_runtime_sync.py", "Python", 0, 0, 0, 0, 48, 0, 0, 0, -1, 10, 57
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters\gtk_runtime_widget_access.py", "Python", 0, 0, 0, 0, 85, 0, 0, 0, 0, 9, 94
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters\gtk_tab_builders.py", "Python", 0, 0, 0, 0, 86, 0, 0, 0, 0, 7, 93
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters\ui_adapter.py", "Python", 0, 0, 0, 0, 17, 0, 0, 0, -8, 1, 10
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters_qt\__init__.py", "Python", 0, 0, 0, 0, 1, 0, 0, 0, -1, 0, 0
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters_qt\qt_backend.py", "Python", 0, 0, 0, 0, 197, 0, 0, 0, -27, 20, 190
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters_qt\qt_dialogs.py", "Python", 0, 0, 0, 0, 79, 0, 0, 0, -36, 18, 61
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters_qt\qt_input_method.py", "Python", 0, 0, 0, 0, 388, 0, 0, 0, 0, 99, 487
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters_qt\qt_layout_builders.py", "Python", 0, 0, 0, 0, 18, 0, 0, 0, -33, 7, -8
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters_qt\qt_margin_text.py", "Python", 0, 0, 0, 0, 30, 0, 0, 0, 0, 9, 39
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters_qt\qt_object_registry.py", "Python", 0, 0, 0, 0, 11, 0, 0, 0, -11, 2, 2
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters_qt\qt_signal_wiring.py", "Python", 0, 0, 0, 0, 95, 0, 0, 0, -14, 7, 88
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters_qt\qt_source_catalog.py", "Python", 0, 0, 0, 0, 105, 0, 0, 0, 0, 31, 136
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters_qt\qt_source_registry_dialog.py", "Python", 0, 0, 0, 0, 578, 0, 0, 0, 0, 90, 668
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters_qt\qt_stylesheet.py", "Python", 0, 0, 0, 0, 23, 0, 0, 0, -17, 8, 14
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters_qt\qt_svg_support.py", "Python", 0, 0, 0, 0, 41, 0, 0, 0, 0, 16, 57
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters_qt\qt_tab_main.py", "Python", 0, 0, 0, 0, 69, 0, 0, 0, -36, 17, 50
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters_qt\qt_tab_margins.py", "Python", 0, 0, 0, 0, 108, 0, 0, 0, -29, 28, 107
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters_qt\qt_tab_slideshow.py", "Python", 0, 0, 0, 0, 238, 0, 0, 0, -27, 49, 260
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters_qt\qt_tray_adapter.py", "Python", 0, 0, 0, 0, 27, 0, 0, 0, -32, 5, 0
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters_qt\qt_widget_helpers.py", "Python", 0, 0, 0, 0, 317, 0, 0, 0, -18, 58, 357
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\app.py", "Python", 0, 0, 0, 0, 2, 0, 0, 0, -2, 0, 0
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\app_qt.py", "Python", 0, 0, 0, 0, 3, 0, 0, 0, -3, 0, 0
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\controllers\optimize_controller.py", "Python", 0, 0, 0, 0, 37, 0, 0, 0, -3, 1, 35
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\dual_display_ui.py", "Python", 0, 0, 0, 0, 43, 0, 0, 0, 3, 8, 54
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\resource_access.py", "Python", 0, 0, 0, 0, 7, 0, 0, 0, -8, 1, 0
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\resources\README.md", "Markdown", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\resources\icons\lucide\archive.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 15, 0, 1, 16
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\resources\icons\lucide\arrow-left-right.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 16, 0, 1, 17
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\resources\icons\lucide\bookmark.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 13, 0, 1, 14
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\resources\source_presets\harite-source-presets.json", "JSON", 0, 0, 0, 0, 0, 198, 0, 0, 0, 200, 398
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\services\cli_mapper.py", "Python", 0, 0, 0, 0, 2, 0, 0, 0, -2, 0, 0
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\views\compose_surface.py", "Python", 0, 0, 0, 0, 5, 0, 0, 0, 0, 4, 9
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\views\display_scale_surface.py", "Python", 0, 0, 0, 0, 62, 0, 0, 0, 0, 24, 86
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\views\drawer_window_resize.py", "Python", 0, 0, 0, 0, 256, 0, 0, 0, 1, 55, 312
